,Magnitud Aparente,Denominación de Bayer,Nombre propio,Distancia a la Tierra (años luz)
0,-26.73,,Sol,0.000 016
1,"-1,47",α Canis Majoris,Sirio,8.6
2,-0.72,α Carinae,Canopus,310
3,-0.05,α Bootes,Arturo,36
4,0.01,α1 Centauri,Rigil Kentaurus A,4.3
5,0.03,α Lyrae,Vega,25
6,0.12,β Orionis,Rígel,770
7,0.34,α Canis Minoris,Procyon,11
8,0.50,α Eridani,Achernar,140
9,0.58 var,α Orionis,Betelgeuse,630
10,0.60,β Centauri,Hadar o Agena,530
11,0.71,α1 Aurigae,Capella A,42
12,0.77,α Aquilae,Altair,17
13,0.85 var,α Tauri,Aldebarán,65
14,0.96,α2 Aurigae,Capella B,42
15,01.04,α Virginis,Espiga,260
16,01.09,α Scorpii,Antares,600,,,
17,1.15,β Geminorum,Pólux,34
18,1.16,α Piscis Austrini,Fomalhaut,25
19,1.25,α Cygni,Deneb,1450
20,1.30,β Crucis Australis,Becrux o Mimosa,350
21,1.33,α2 Centauri,Rigil Kentaurus B,4.4
22,1.35,α Leonis,Regulus,77
23,1.40,α1 Crucis Australis,Ácrux A,320
24,1.51,ε Canis Majoris,Adhara,430
25,1.62,λ Scorpii,Shaula,700
26,1.63,γ Crucis Australis,Gacrux,88
27,1.64,γ Orionis,Bellatrix,240
28,1.68,β Tauri,Elnath,130
29,1.70,β Carinae,Miaplacidus,110
30,1.70,ε Orionis,Alnilam,1300
31,1.70,ζ1 Orionis,Alnitak A,820
32,1.74,α Gruis,Al Nair,100
33,1.76,ε Ursae Majoris,Alioth,81
34,1.78,γ12 Velorum,Gamma2 Velorum A,840
35,1.80,ε Sagittarii,Kaus Australis,140
36,1.82,α Persei,Mirfak,590
37,1.84,δ Canis Majoris,Wezen,1800
38,1.85,η Ursae Majoris,Benetnasch o Alkaid,100
39,1.86,θ Scorpii,Sargas,270
40,1.87,α1 Ursae Majoris,Dubhe A,120
41,1.90,γ Geminorum,Alhena,100
42,1.91,α Pavonis,Peacock,180
43,1.92,α Trianguli Australis,Atria,420
44,1.96,α1 Geminorum,Cástor A,52
45,1.98,β Canis Majoris,Murzim o Mirzam,500
46,2.00,α Hydrae,Alfard,180
47,2.00,α Arietis,Hamal,66
48,2.01 var,α Ursae Minoris,Polaris,430
49,02.03,δ1 Velorum,Delta Velorum A,80
50,02.04,β Ceti,Deneb Kaitos,96
51,02.05,κ Orionis,Saiph,720
52,02.06,σ Sagittarii,Nunki,220
53,02.06,θ Centauri,Menkent,61
54,02.06,α Andromedae,Alpheratz,97
55,02.06,β Andromedae,Mirach,200
56,02.08,β Ursae Minoris,Kochab,130
57,02.09,α2 Crucis Australis,Ácrux B,320
58,2.10,α Ophiuchi,Ras Alhague,47
59,2.12 var,β Persei,Algol,93
60,2.13,β Gruis,Beta Gruis,170
61,2.14,β Leonis,Denébola,36
62,2.21,ζ Puppis,Naos,1400
63,2.23,λ Velorum,Lambda Velorum,570
64,2.23,γ Draconis,Etamin,150
65,2.24,α1 Coronae Borealis,Gemma A / Alphecca A,75
66,2.24,γ Cygni,Sadr,1500
67,2.25,α Cassiopeiae,Schedar,230
68,2.25,ι Carinae,Aspidiske,690
69,2.26,γ1 Andromedae,Almach A,350
70,2.27,ζ1 Ursae Majoris,Mizar A,78
71,2.27,β Cassiopeiae,Caph,54
72,2.27,ε Centauri,Épsilon Centauri,380
73,2.28,γ1 Leonis,Algieba A,130
74,2.28,α Lupi,Alfa Lupi,550
75,2.29,δ Scorpii,Dschubba,400
76,2.29,ε Scorpii,Wei,65
77,2.32,η Centauri,Eta Centauri,310
78,2.35,β Ursae Majoris,Merak,79
79,2.37,α Phoenicis,Ankaa,77
80,2.38,κ Scorpii,Girtab,460
81,2.39,γ Cassiopeiae,Gamma Cassiopeiae,610
82,2.40,ε Pegasi,Enif,670
83,2.40,η Canis Majoris,Aludra,3200
84,2.4,ε1 Carinae,Avior A,630
85,2.42,β Pegasi,Scheat,200
86,2.43,γ Ursae Majoris,Phecda,84
87,2.44,α Cephei,Alderamin,49
88,2.46,κ Velorum,Kappa Velorum,540
89,2.49,α Pegasi,Markab,140
90,2.50,ε Cygni,Giennah,72
